Transaction ID|Sender Account Number|Receiver Account Number|Type|Amount|Content|Created At|Status
e5dbd7ef-7186-4a6d-b67e-c2d655f93b05|8174c74f-722d-4484-ad10-c2e775572a03|0f6c3ce3-42ab-453f-8a48-36b2b5fa78f6|3|2000000|Nga|2018-06-14 20H05H26|1
442ed0f5-f8ff-4aa3-a751-f5ff05e8cf8e|d98a1469-2602-4e2e-a527-f0bb55c64890|0f6c3ce3-42ab-453f-8a48-36b2b5fa78f6|3|2000000|Nga|2018-06-14 20H00H00|1
94602cd5-9c4f-489a-9015-aa1fccf6d97b|3d52125e-d70e-4671-8697-d7106d79ba3f|0f6c3ce3-42ab-453f-8a48-36b2b5fa78f6|3|20000000|Nga|2018-06-14 20H01H16|1
2b112d8d-1332-46ac-9df4-379d6076de77|8174c74f-722d-4484-ad10-c2e775572a03|0f6c3ce3-42ab-453f-8a48-36b2b5fa78f6|3|4000000|TIyBanNha|2018-06-16 01H00H00|1
d4d37b83-bed9-4670-aeb0-f64ff9f7acca|8174c74f-722d-4484-ad10-c2e775572a03|0f6c3ce3-42ab-453f-8a48-36b2b5fa78f6|3|3000000|TIyBanNha|2018-06-16 02H00H00|1
7b96f393-6351-42a6-b287-841beba56e9a|ef065324-6f0f-4dfb-a957-31d525066bfb|0f6c3ce3-42ab-453f-8a48-36b2b5fa78f6|3|1500000|TIyBanNha|2018-06-16 01H30H00|1
5a14fee7-6aa3-44eb-b400-bac3ce78f3c0|d98a1469-2602-4e2e-a527-f0bb55c64890|0f6c3ce3-42ab-453f-8a48-36b2b5fa78f6|3|3000000|TIyBanNha|2018-06-16 00H00H12|1
d450a169-f229-48e1-8368-4c45c7be7572|56ee353e-2688-495d-83f8-3c9d83ec44ac|0f6c3ce3-42ab-453f-8a48-36b2b5fa78f6|3|11500000|TIyBanNha|2018-06-16 01H20H00|1
e2d7e174-911c-4121-bfe2-de58f5242de2|0fc6fefa-5d83-4b78-a7fc-5f1a9518e49a|0f6c3ce3-42ab-453f-8a48-36b2b5fa78f6|3|6000000|TIyBanNha|2018-06-16 01H03H00|1
1821a85d-ac4c-4915-9b07-8f2108ceb476|8b002de6-b50d-4a1e-a98bd710de154f4a|0f6c3ce3-42ab-453f-8a48-36b2b5fa78f6|3|7500000|PhMp|2018-06-16 16H30H00|1
db9b7614-094b-43f3-aaa5-7c2fc83726ac|8174c74f-722d-4484-ad10-c2e775572a03|0f6c3ce3-42ab-453f-8a48-36b2b5fa78f6|3|5000000|PhMp|2018-06-16 17H00H00|1
0a1d58f8-e13a-44cf-ac67-25b1828be238|ef065324-6f0f-4dfb-a957-31d525066bfb|0f6c3ce3-42ab-453f-8a48-36b2b5fa78f6|3|5500000|Argen|2018-06-16 17H30H00|1
